Name,Rk,G,Date,Age,Tm,Venue,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
Jayson Tatum,3,3,20/10/2017,19-231,BOS,Away,PHI,W (+10),1,32:45:00,3,8,0.375,0,2,0,9,9,1,2,6,8,0,0,3,3,3,15,11.7,-4
Jayson Tatum,4,4,24/10/2017,19-235,BOS,Home,NYK,W (+21),1,31:08:00,9,15,0.6,4,6,0.667,0,0,,1,3,4,2,4,2,3,4,22,18.9,10
Jayson Tatum,5,5,26/10/2017,19-237,BOS,Away,MIL,W (+7),1,27:49:00,3,6,0.5,1,3,0.333,5,5,1,0,2,2,3,1,0,2,1,12,10.3,8
Jayson Tatum,6,6,28/10/2017,19-239,BOS,Away,MIA,W (+6),1,31:28:00,6,9,0.667,2,2,1,6,7,0.857,2,3,5,0,0,0,0,1,20,17.6,2
Jayson Tatum,7,7,30/10/2017,19-241,BOS,Home,SAS,W (+14),1,35:18:00,2,7,0.286,2,4,0.5,1,2,0.5,0,11,11,2,0,3,2,3,7,6.1,10
Jayson Tatum,8,8,1/11/2017,19-243,BOS,Home,SAC,W (+27),1,26:25:00,4,7,0.571,1,2,0.5,3,4,0.75,1,3,4,2,0,0,2,1,12,8.9,23
Jayson Tatum,9,9,3/11/2017,19-245,BOS,Away,OKC,W (+7),1,29:48:00,4,10,0.4,2,3,0.667,3,4,0.75,2,4,6,3,0,0,4,1,13,7.5,4
Jayson Tatum,10,10,5/11/2017,19-247,BOS,Away,ORL,W (+16),1,27:19:00,5,8,0.625,2,4,0.5,1,2,0.5,0,4,4,3,1,0,0,4,13,11.7,6
Jayson Tatum,11,11,6/11/2017,19-248,BOS,Away,ATL,W (+3),1,32:27:00,7,13,0.538,3,5,0.6,4,4,1,0,8,8,1,1,2,0,1,21,19.8,15
Jayson Tatum,12,12,8/11/2017,19-250,BOS,Home,LAL,W (+11),1,9:21,1,2,0.5,0,0,,3,3,1,0,1,1,1,1,1,1,1,5,5.3,-1
Jayson Tatum,13,13,10/11/2017,19-252,BOS,Home,CHO,W (+3),1,30:44:00,6,12,0.5,1,4,0.25,3,4,0.75,0,2,2,1,0,0,2,4,16,7.3,5
Jayson Tatum,14,14,12/11/2017,19-254,BOS,Home,TOR,W (+1),1,32:59:00,6,15,0.4,1,4,0.25,0,0,,1,6,7,0,0,0,2,3,13,4.2,2
Jayson Tatum,15,15,14/11/2017,19-256,BOS,Away,BRK,W (+7),1,30:17:00,6,9,0.667,2,3,0.667,5,6,0.833,1,3,4,0,3,1,1,1,19,18.6,5
Jayson Tatum,16,16,16/11/2017,19-258,BOS,Home,GSW,W (+4),1,27:04:00,2,5,0.4,0,0,,8,9,0.889,1,3,4,0,1,0,1,3,12,9.3,-18
Jayson Tatum,17,17,18/11/2017,19-260,BOS,Away,ATL,W (+11),1,28:47:00,5,11,0.455,1,3,0.333,3,3,1,0,7,7,0,4,2,1,3,14,13.6,-4
Jayson Tatum,18,18,20/11/2017,19-262,BOS,Away,DAL,W (+8),1,37:49:00,6,11,0.545,0,2,0,3,4,0.75,0,9,9,1,1,1,1,3,15,12.2,15
Jayson Tatum,19,19,22/11/2017,19-264,BOS,Away,MIA,L (-6),1,34:05:00,5,11,0.455,3,4,0.75,5,5,1,1,6,7,4,1,1,1,1,18,17.9,
Jaylen Brown,1,1,16/10/2018,21-357,BOS,Home,PHI,W (+18),1,28:23:00,5,13,0.385,1,3,0.333,1,2,0.5,3,2,5,2,0,0,2,4,12,5,11
Jaylen Brown,2,2,19/10/2018,21-360,BOS,Away,TOR,L (-12),1,24:10:00,5,10,0.5,3,6,0.5,0,2,0,1,3,4,0,0,0,1,4,13,6.2,0
Jaylen Brown,3,3,20/10/2018,21-361,BOS,Away,NYK,W (+2),1,38:27:00,2,9,0.222,0,2,0,3,3,1,2,3,5,2,1,0,2,3,7,3,1
Jaylen Brown,4,4,22/10/2018,21-363,BOS,Home,ORL,L (-3),1,31:18:00,2,9,0.222,1,4,0.25,0,0,,0,5,5,3,0,1,1,3,5,1.6,-15
Jaylen Brown,5,5,25/10/2018,22-001,BOS,Away,OKC,W (+6),1,23:47,1,8,0.125,0,2,0,4,6,0.667,3,0,3,2,1,0,1,2,6,2.7,-11
Jaylen Brown,6,6,27/10/2018,22-003,BOS,Away,DET,W (+20),1,25:15:00,6,13,0.462,3,7,0.429,4,6,0.667,0,2,2,1,1,1,2,4,19,10.9,24
Jaylen Brown,7,7,30/10/2018,22-006,BOS,Home,DET,W (+3),1,32:12:00,6,13,0.462,1,4,0.25,1,2,0.5,1,4,5,3,1,1,0,2,14,11.8,1
Jaylen Brown,8,,1/11/2018,22-008,BOS,Home,MIL,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
Jaylen Brown,9,8,3/11/2018,22-010,BOS,Away,IND,L (-1),1,31:06:00,5,14,0.357,1,5,0.2,1,2,0.5,2,5,7,0,0,2,2,1,12,5.7,-12
Jaylen Brown,10,9,5/11/2018,22-012,BOS,Away,DEN,L (-8),1,28:49:00,7,14,0.5,1,4,0.25,0,0,,1,3,4,0,1,0,0,1,15,10.2,8
Jaylen Brown,11,10,8/11/2018,22-015,BOS,Away,PHO,W (+7),1,38:37:00,6,13,0.462,1,3,0.333,4,6,0.667,1,5,6,1,0,0,2,2,17,9.6,8
